Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
16,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Crystal Palace,25-128,1996,6.4,0,1,0,0.0,0.16,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
17,Michail Antonio\Michail-Antonio,jm JAM,FW,West Ham,31-192,1990,5.9,5,27,9,33.3,4.54,1.51,0.19,0.56,14.0,0,0,1,3.8,3.5,0.13,+1.2,+1.5,Matches
18,Cameron Archer\Cameron-Archer,eng ENG,MFFW,Aston Villa,20-077,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Adam Armstrong\Adam-Armstrong,eng ENG,FW,Southampton,24-238,1997,6.8,1,21,7,33.3,3.08,1.03,0.05,0.14,18.5,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
20,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,27-003,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,32-110,1989,4.8,2,14,5,35.7,2.94,1.05,0.14,0.40,15.1,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
22,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,30-025,1991,5.7,0,12,1,8.3,2.10,0.17,0.00,0.00,17.8,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
23,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,30-042,1991,5.0,1,4,1,25.0,0.80,0.20,0.25,1.00,19.2,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
24,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,32-039,1989,6.0,0,2,0,0.0,0.33,0.00,0.00,,14.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
25,Daniel Bachmann\Daniel-Bachmann,at AUT,GK,Watford,27-089,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
26,Leon Bailey\Leon-Bailey,jm JAM,MFFW,Aston Villa,24-058,1997,1.0,1,3,1,33.3,3.10,1.03,0.33,1.00,19.1,1,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
27,Folarin Balogun\Folarin-Balogun,eng ENG,FW,Arsenal,20-095,2001,0.8,0,3,0,0.0,3.86,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
28,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,28-031,1993,4.8,1,15,4,26.7,3.10,0.83,0.07,0.25,13.5,0,0,0,3.0,3.0,0.20,-2.0,-2.0,Matches
29,Shandon Baptiste\Shandon-Baptiste,gd GRN,MF,Brentford,23-181,1998,2.1,0,3,0,0.0,1.42,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
30,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-305,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-341,1989,3.9,0,5,2,40.0,1.30,0.52,0.00,0.00,12.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
32,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-301,1997,6.0,0,13,3,23.1,2.16,0.50,0.00,0.00,16.9,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
33,Mads Bech Sørensen\Mads-Bech-Sorensen,dk DEN,DF,Brentford,22-272,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,25-177,1996,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,Manchester Utd,24-171,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Asmir Begović\Asmir-Begovic,ba BIH,GK,Everton,34-108,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,26-057,1995,6.6,3,20,8,40.0,3.04,1.21,0.15,0.38,21.4,2,0,0,1.7,1.7,0.08,+1.3,+1.3,Matches
38,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-307,1990,4.3,0,8,0,0.0,1.87,0.00,0.00,,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
39,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-344,1990,4.9,0,6,1,16.7,1.23,0.21,0.00,0.00,19.1,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
40,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,Tottenham,23-363,1997,2.6,0,7,3,42.9,2.72,1.16,0.00,0.00,17.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
41,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Leicester City,32-062,1989,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,Mads Bidstrup\Mads-Bidstrup,dk DEN,MF,Brentford,20-223,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,25-037,1996,4.9,0,3,0,0.0,0.62,0.00,0.00,,23.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
44,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,24-290,1996,6.7,1,15,7,46.7,2.22,1.04,0.07,0.14,16.9,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
45,Armando Broja\Armando-Broja,al ALB,FWMF,Southampton,20-026,2001,1.0,0,3,0,0.0,3.10,0.00,0.00,,15.5,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
46,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-291,1995,6.1,0,6,1,16.7,0.98,0.16,0.00,0.00,22.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
47,Bryan\Bryan,es ESP,FWMF,Tottenham,20-237,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Emi Buendía\Emi-Buendia,ar ARG,MFFW,Aston Villa,24-285,1996,3.1,1,2,1,50.0,0.64,0.32,0.50,1.00,20.5,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
49,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,29-150,1992,1.7,0,1,0,0.0,0.58,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
50,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-204,1997,2.8,3,9,5,55.6,3.27,1.81,0.11,0.20,11.5,0,2,2,3.8,2.3,0.26,-0.8,-1.3,Matches
51,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,27-132,1994,7.0,0,10,1,10.0,1.43,0.14,0.00,0.00,21.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
52,Sergi Canós\Sergi-Canos,es ESP,DF,Brentford,24-246,1997,6.4,1,7,3,42.9,1.09,0.47,0.14,0.33,18.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
53,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,23-221,1998,3.5,0,3,0,0.0,0.86,0.00,0.00,,32.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
54,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,24-060,1997,6.9,1,7,1,14.3,1.01,0.14,0.14,1.00,20.6,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
55,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-305,1995,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,32-242,1989,4.3,0,1,0,0.0,0.23,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
57,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-234,1987,1.1,0,2,1,50.0,1.75,0.87,0.00,0.00,11.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
58,Trevoh Chalobah\Trevoh-Chalobah,eng ENG,DF,Chelsea,22-093,1999,3.0,2,2,2,100.0,0.66,0.66,1.00,1.00,15.2,0,0,0,0.5,0.5,0.26,+1.5,+1.5,Matches
59,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-259,1995,1.9,0,2,0,0.0,1.06,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
